Syrian refugees - major hosting countries worldwide in 2022,
Ranking of the largest Syrian refugee-hosting countries in 2022,
,
Turkey,"3,535,898"
Lebanon,"814,715"
Jordan,"660,892"
Germany,"522,575"
Iraq,"257,439"
Egypt,"145,658"
Sweden,"111,199"
Sudan,"93,478"
Austria,"73,923"
Netherlands (Kingdom of the),"45,141"
Greece,"42,827"
France,"40,339"
Bulgaria,"23,726"
Switzerland,"20,330"
Denmark,"19,153"
Belgium,"17,808"
Spain,"16,191"
Norway,"15,964"
United Kingdom of Great Britain and Northern Ireland,"12,682"
Cyprus,"10,902"
